СТ	30645
ПО	26516
РО	22642
ТО	22317
РА	22070
КА	21130
КО	21097
ПР	19492
ЕН	19043
ОВ	18836
ЕР	18078
НИ	17970
НА	17607
РЕ	17201
ОС	17005
ОЛ	16957
ЗА	16556
ОР	16363
ТА	15766
ВО	15754
НО	15656
ВА	15537
АЛ	15510
ОТ	15384
НЕ	15288
СК	14276
АТ	14065
ВЕ	13569
ЕЛ	13496
РИ	13395
ОД	13188
ЕС	12981
АЗ	12925
ДЕ	12794
ЛО	12720
ОГ	12269
ЛЕ	12154
АН	12131
ТЕ	12010
ОН	11626
ЧЕ	11433
МЕ	10849
МО	10767
МА	10629
ЛЬ	10354
ДО	10296
ТР	9833
ЛИ	9779
ОБ	9771
ИТ	9429
ВИ	9406
ЛА	9330
ИН	9284
ГО	9274
НЫ	9273
ЕТ	8836
АС	8783
ИЛ	8728
АВ	8540
АК	8437
ИС	8281
ВС	8234
ЕГ	8233
ЧТ	8097
НН	8089
РУ	8014
АР	8011
ОМ	7977
СЕ	7727
ЕД	7459
ТИ	7458
БЫ	7346
НУ	7300
ДИ	7230
СЛ	7160
ДА	7104
СО	7097
ЭТ	7085
БО	7058
ЕМ	7039
ПЕ	6779
АМ	6686
ИВ	6461
АД	6458
ВЫ	6311
СП	6155
ОЖ	6008
СИ	5951
ТВ	5943
ЛС	5924
ОЧ	5831
КИ	5810
ЧА	5641
ХО	5616
ИК	5511
УД	5372
ИМ	5320
КР	5317
ОК	5197
ДН	5099
ЖЕ	5084
ПА	4961
ИД	4802
ЗН	4771
ОП	4706
МН	4637
ЧИ	4637
ШЕ	4552
БЕ	4549
ГЛ	4360
ЫЛ	4279
ЬН	4187
УМ	4145
СА	4060
ЖИ	4058
ШИ	4018
АЕ	4011
ТС	3978
ИЗ	3977
ГА	3927
МИ	3861
ТН	3852
ЯТ	3840
БР	3812
ЕВ	3806
ЕБ	3787
ДУ	3744
УЛ	3721
УС	3713
ЛУ	3665
ИЧ	3660
ОЗ	3622
РЫ	3516
ТУ	3498
ДР	3488
ЕК	3472
АЖ	3432
ЛЯ	3432
НТ	3416
ЖА	3408
СН	3403
ГР	3314
РН	3299
ПИ	3282
ВН	3264
ЬК	3242
СВ	3234
АБ	3213
АШ	3171
БУ	3159
ПЛ	3155
УЖ	3149
ГД	3114
КУ	3097
ИР	3075
УТ	3057
РЯ	3004
ЕЧ	2924
ДВ	2888
ЗД	2870
ТЬ	2849
ЫВ	2839
ОШ	2835
СМ	2835
ЕП	2833
НЯ	2815
АЧ	2813
ЕШ	2716
УЧ	2660
АП	2641
ЛЮ	2598
ЧН	2589
ЕЗ	2560
БА	2539
ЬС	2529
БИ	2519
ЖН	2509
БЛ	2484
КТ	2482
ПУ	2461
УР	2437
ЩЕ	2437
ЩИ	2429
ТЫ	2422
ЗВ	2394
СС	2377
АГ	2357
УК	2357
УГ	2325
ЕЖ	2292
ЫТ	2285
ША	2234
ВР	2122
ЦИ	2116
УБ	2115
ЗО	2102
ЖД	2097
ЕЩ	2090
ВЛ	2081
УП	2076
КЛ	2070
АЮ	2057
РТ	2047
ЕЙ	2032
ОЙ	2018
СУ	2009
ТК	1999
ЛЫ	1950
